file_name,vehicle_journey_code,journey_code,departure_time,service_code,line_name,direction,destination_display,origin,destination,start_date,end_date,days_of_week,operator_code,operator_name,journey_pattern_ref,journey_pattern_section_ref
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_4,42,10:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_5,50,11:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_6,58,12:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_7,66,13:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_8,74,14:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_3,js_3
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_9,82,15:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_4,js_4
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_10,90,16:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_5,js_5
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_11,96,17:12:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_6,js_6
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_12,102,18:01:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_7,js_7
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_13,19,07:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_14,27,08:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_15,35,09:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_16,43,10:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_17,51,11:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_18,59,12:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_19,67,13:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_20,85,15:48:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260105_20260211_2235429.xml,vj_21,75,14:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-05,2026-02-11,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_10,js_10
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_1,18,07:25:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_1,js_1
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_2,26,08:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_3,34,09:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_4,42,10:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_5,50,11:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_6,58,12:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_7,66,13:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_8,74,14:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_3,js_3
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_9,82,15:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_4,js_4
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_10,90,16:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_5,js_5
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_11,96,17:12:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_6,js_6
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_12,102,18:01:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_7,js_7
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_13,19,07:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260108_20260212_2235430.xml,vj_14,27,08:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-01-08,2026-02-12,Thursday,ENSB,Ensignbus,jp_8,js_8
